ID2,tag,Season,homerange,Study_Area,fpt,Fence
40_2011,HM11M0015,Growing,2018.24503710711,Henry Mountains,0.00785398163397448,0
41_2011,HM11M0016,Growing,1765.75928093763,Henry Mountains,197.309690104115,0
45_2012,HM12F0002,Growing,460.657946204165,Henry Mountains,1.13097335529233,0
46_2012,HM12F0003,Growing,448.405353926438,Henry Mountains,0.00785398163397448,0
46_2013,HM12F0003,Growing,1021.37077002693,Henry Mountains,6.60519855417254,0
47_2012,HM12F0004,Growing,974.518234815884,Henry Mountains,89.0818231879471,0
48_2012,HM12F0005,Growing,904.817639989536,Henry Mountains,62.9123563835441,0
50_2013,HM12F0007,Growing,1361.92390261621,Henry Mountains,0.00785398163397448,0
52_2012,HM12F0009,Growing,1024.84930849777,Henry Mountains,0.00785398163397448,0
53_2012,HM12F0010,Growing,1134.9750570995,Henry Mountains,1.88691908756237,0
54_2012,HM12F0011,Growing,769.134472897351,Henry Mountains,2.40528187540469,0
55_2012,HM12F0012,Growing,863.360278159168,Henry Mountains,4.1547562843725,0
55_2013,HM12F0012,Growing,1398.05885090926,Henry Mountains,0.00785398163397448,0
56_2012,HM12M0001,Growing,448.222967155758,Henry Mountains,14.1862543263664,0
57_2012,HM12M0002,Growing,1282.28385839725,Henry Mountains,0.00785398163397448,0
58_2012,HM12M0003,Growing,650.600977886708,Henry Mountains,2.13824649984955,0
60_2012,HM12M0005,Growing,504.995251032678,Henry Mountains,0.00785398163397448,0
61_2012,HM12M0006,Growing,377.016463831597,Henry Mountains,97.6426631689793,0
63_2012,HM12M0008,Growing,299.342460160586,Henry Mountains,0.00785398163397448,0
64_2012,HM12M0009,Growing,489.038014241445,Henry Mountains,0.00785398163397448,0
65_2012,HM12M0010,Growing,1342.72210802575,Henry Mountains,0.00785398163397448,0
66_2012,HM12M0011,Growing,491.008898199679,Henry Mountains,510.705155749191,0
67_2012,HM12M0012,Growing,466.50551280466,Henry Mountains,1.13097335529233,0
68_2013,HM13F0001,Growing,1080.70367298563,Henry Mountains,3.14159265358979,0
68_2014,HM13F0001,Growing,1073.98035737691,Henry Mountains,67.2006303556942,0
69_2013,HM13F0002,Growing,1531.18153232947,Henry Mountains,151.746779150021,0
70_2013,HM13F0003,Growing,930.786767981295,Henry Mountains,20.0296166620434,0
71_2013,HM13F0004,Growing,1419.65630308893,Henry Mountains,662.799473586515,0
71_2014,HM13F0004,Growing,1213.5518092871,Henry Mountains,45.3645979178366,0
72_2013,HM13F0005,Growing,1332.24701809356,Henry Mountains,0.00785398163397448,0
72_2014,HM13F0005,Growing,895.337736880805,Henry Mountains,65.0388219109427,0
74_2013,HM13F0007,Growing,1641.60421578281,Henry Mountains,0.567450173054656,0
78_2013,HM13M0001,Growing,894.710093673973,Henry Mountains,0.331830724035422,0
79_2013,HM13M0002,Growing,1348.43484744776,Henry Mountains,2.83528736986479,0
84_2013,HM13M0007,Growing,1452.09863017131,Henry Mountains,0.00785398163397448,0
85_2013,HM13M0008,Growing,584.923618363145,Henry Mountains,4.71435247579318,0
86_2013,HM13M0009,Growing,1134.54372428968,Henry Mountains,18.0955736846772,0
87_2013,HM13U0001,Growing,1076.97385548283,Henry Mountains,4.71435247579318,0
134_2017,TX-44035,Growing,33.1433547075135,Caprock Canyon,78.5398163397448,1
134_2018,TX-44035,Growing,32.6009366557105,Caprock Canyon,70.8821842466197,1
135_2017,TX-44036,Growing,35.8468387862384,Caprock Canyon,73.8981131940659,1
136_2017,TX-44037,Growing,44.0402972641809,Caprock Canyon,79.3271779985508,1
136_2018,TX-44037,Growing,37.9099065596321,Caprock Canyon,57.414569239762,1
137_2015,TX-677466B_61,Growing,10.0105218165911,Caprock Canyon,6.37939658219577,1
137_2016,TX-677466B_61,Growing,26.3250594991404,Caprock Canyon,40.7150407905237,1
131_349,APR-BisonF1,Nongrowing,10.9331476677019,American Prairie Reserve,5.10705155749191,1
115_299,APR-bisonfemale144,Nongrowing,29.3322685335269,American Prairie Reserve,44.7696588090631,1
115_301,APR-bisonfemale144,Nongrowing,81.9150757587459,American Prairie Reserve,106.59620223171,1
115_303,APR-bisonfemale144,Nongrowing,166.137732583541,American Prairie Reserve,0.196349540849362,1
122_326,APR-bisonfemale22,Nongrowing,428.605967407252,American Prairie Reserve,0.00785398163397448,1
116_305,APR-Cow1,Nongrowing,67.4140912860952,American Prairie Reserve,0.00785398163397448,1
125_334,APR-DF161,Nongrowing,45.6608216002147,American Prairie Reserve,63.6172512351933,1
126_337,APR-DF167,Nongrowing,46.3658173566282,American Prairie Reserve,58.0880481648753,1
120_318,APR-F103,Nongrowing,309.019926861151,American Prairie Reserve,0.0962112750161874,1
118_310,APR-F178,Nongrowing,79.7140380481536,American Prairie Reserve,0.00785398163397448,1
123_327,APR-NewKunkel1,Nongrowing,3956.59699715424,American Prairie Reserve,0.00785398163397448,1
123_329,APR-NewKunkel1,Nongrowing,117.927506807778,American Prairie Reserve,0.00785398163397448,1
121_320,APR-NewKunkel2,Nongrowing,5128.6736078535,American Prairie Reserve,0.00785398163397448,1
121_322,APR-NewKunkel2,Nongrowing,394.33119626291,American Prairie Reserve,0.00785398163397448,1
121_324,APR-NewKunkel2,Nongrowing,142.222969295287,American Prairie Reserve,11.3411494794592,1
127_338,APR-SP124,Nongrowing,179.770529928208,American Prairie Reserve,40.1515176082861,1
127_340,APR-SP124,Nongrowing,116.184087268139,American Prairie Reserve,0.0176714586764426,1
128_341,APR-SP216,Nongrowing,220.208670247516,American Prairie Reserve,0.00785398163397448,1
129_345,APR-SPN103,Nongrowing,18.8271421683667,American Prairie Reserve,8.55298599939821,1
130_348,APR-SPN178,Nongrowing,19.8056719662623,American Prairie Reserve,4.5238934211693,1
89_237,BC14F0001,Nongrowing,165.634959490462,Book Cliffs,0.00785398163397448,0
89_239,BC14F0001,Nongrowing,1235.72604646192,Book Cliffs,477.225595538966,0
90_240,BC14M 0001,Nongrowing,1085.13814116193,Book Cliffs,108.43403393406,0
93_246,BC15F0001,Nongrowing,753.065293975913,Book Cliffs,45.9634640174272,0
94_248,BC18F0001,Nongrowing,405.463668901226,Book Cliffs,0.00785398163397448,0
95_251,BC18F0002,Nongrowing,401.233815789082,Book Cliffs,0.00785398163397448,0
96_253,BC18F0003,Nongrowing,592.960565157549,Book Cliffs,0.00785398163397448,0
97_256,BC18F0004,Nongrowing,699.529772564028,Book Cliffs,0.00785398163397448,0
98_258,BC18F0005,Nongrowing,232.33140997554,Book Cliffs,28.2743338823081,0
99_260,BC18F0006,Nongrowing,168.635814643278,Book Cliffs,27.3397100678652,0
100_263,BC18F0007,Nongrowing,482.680745065537,Book Cliffs,0.00785398163397448,0
101_266,BC18F0008,Nongrowing,919.688589933421,Book Cliffs,0.00785398163397448,0
102_269,BC18F0009,Nongrowing,492.982626970498,Book Cliffs,0.00785398163397448,0
104_272,BC18F0011,Nongrowing,160.436698140404,Book Cliffs,8.55298599939821,0
109_285,BC18M0001,Nongrowing,634.118255772244,Book Cliffs,0.865901475145687,0
110_287,BC18M0002,Nongrowing,221.362849642526,Book Cliffs,33.1830724035422,0
111_289,BC18M0003,Nongrowing,1748.05504144444,Book Cliffs,0.00785398163397448,0
112_291,BC18M0004,Nongrowing,443.358306267233,Book Cliffs,0.00785398163397448,0
113_293,BC18M0005,Nongrowing,614.13820386587,Book Cliffs,124.689812420979,0
133_354,CO-162_142,Nongrowing,38.4931067894695,Medano-Zapata Ranch,,1
133_356,CO-162_142,Nongrowing,176.013143943772,Medano-Zapata Ranch,267.3514983159,1
132_352,CO-162_167,Nongrowing,176.246276168606,Medano-Zapata Ranch,373.252623173003,1
1_1,HM11F0001,Nongrowing,23.0486535301356,Henry Mountains,1.539380400259,0
2_5,HM11F0002,Nongrowing,685.042018430377,Henry Mountains,0.00785398163397448,0
3_11,HM11F0003,Nongrowing,446.454735424515,Henry Mountains,24.1922269280499,0
3_9,HM11F0003,Nongrowing,1321.58625860832,Henry Mountains,0.00785398163397448,0
4_15,HM11F0004,Nongrowing,1360.46317489245,Henry Mountains,58.7654540808056,0
4_17,HM11F0004,Nongrowing,812.915585640187,Henry Mountains,0.0962112750161874,0
7_26,HM11F0007,Nongrowing,1305.81221197665,Henry Mountains,115.94244037614,0
8_29,HM11F0008,Nongrowing,104.209145958312,Henry Mountains,4.71435247579318,0
10_35,HM11F0010,Nongrowing,801.656664599494,Henry Mountains,98.5203456165759,0
10_37,HM11F0010,Nongrowing,5125.2237539089,Henry Mountains,10.7521008569111,0
12_43,HM11F0012,Nongrowing,1085.63627600088,Henry Mountains,1.65129963854314,0
13_45,HM11F0013,Nongrowing,833.571141882768,Henry Mountains,0.00785398163397448,0
13_47,HM11F0013,Nongrowing,454.126986795925,Henry Mountains,0.00785398163397448,0
15_53,HM11F0015,Nongrowing,437.713352230835,Henry Mountains,89.9202357273738,0
18_61,HM11F0018,Nongrowing,854.973721402276,Henry Mountains,0.00785398163397448,0
18_63,HM11F0018,Nongrowing,455.850504835175,Henry Mountains,0.00785398163397448,0
20_69,HM11F0020,Nongrowing,647.459299941503,Henry Mountains,0.00785398163397448,0
21_70,HM11F0021,Nongrowing,653.582133244944,Henry Mountains,0.00785398163397448,0
21_72,HM11F0021,Nongrowing,2049.68002796851,Henry Mountains,3.30063578167778,0
23_76,HM11F0023,Nongrowing,703.126176817534,Henry Mountains,0.00785398163397448,0
23_78,HM11F0023,Nongrowing,579.839303436981,Henry Mountains,1.65129963854314,0
23_80,HM11F0023,Nongrowing,424.319757761,Henry Mountains,148.48934026733,0
24_84,HM11F0024,Nongrowing,1109.19509312775,Henry Mountains,0.00785398163397448,0
25_88,HM11F0025,Nongrowing,1630.23619930284,Henry Mountains,0.00785398163397448,0
29_95,HM11M0004,Nongrowing,402.829355391392,Henry Mountains,0.00785398163397448,0
33_102,HM11M0008,Nongrowing,237.326276980546,Henry Mountains,39.5919214168654,0
43_123,HM11M0019,Nongrowing,2427.92181777959,Henry Mountains,0.00785398163397448,0
46_129,HM12F0003,Nongrowing,3667.86647793635,Henry Mountains,1.22718463030851,0
46_131,HM12F0003,Nongrowing,1240.24306556838,Henry Mountains,26.8782886468692,0
50_139,HM12F0007,Nongrowing,758.526346834512,Henry Mountains,152.840446092552,0
52_144,HM12F0009,Nongrowing,2788.1637478689,Henry Mountains,0.00785398163397448,0
55_150,HM12F0012,Nongrowing,726.802097348134,Henry Mountains,0.708821842466197,0
55_152,HM12F0012,Nongrowing,746.706128485128,Henry Mountains,0.196349540849362,0
61_164,HM12M0006,Nongrowing,594.555452407145,Henry Mountains,241.904597821823,0
68_177,HM13F0001,Nongrowing,1199.72098189448,Henry Mountains,0.00785398163397448,0
68_179,HM13F0001,Nongrowing,1931.00194608827,Henry Mountains,0.00785398163397448,0
68_181,HM13F0001,Nongrowing,1377.81111302898,Henry Mountains,96.7689077121996,0
69_182,HM13F0002,Nongrowing,314.130159869278,Henry Mountains,0.00785398163397448,0
69_184,HM13F0002,Nongrowing,516.938943131064,Henry Mountains,17.7205460616549,0
70_185,HM13F0003,Nongrowing,1826.03249016897,Henry Mountains,0.196349540849362,0
71_187,HM13F0004,Nongrowing,244.668988462175,Henry Mountains,0.00785398163397448,0
71_189,HM13F0004,Nongrowing,483.316623583124,Henry Mountains,0.865901475145687,0
71_191,HM13F0004,Nongrowing,1682.57453166338,Henry Mountains,23.3282889483127,0
72_192,HM13F0005,Nongrowing,390.206012945843,Henry Mountains,0.0490873852123405,0
72_194,HM13F0005,Nongrowing,1001.26779305006,Henry Mountains,0.00785398163397448,0
72_196,HM13F0005,Nongrowing,490.803157796196,Henry Mountains,1.43138815279185,0
73_197,HM13F0006,Nongrowing,1704.41693060763,Henry Mountains,0.00785398163397448,0
74_199,HM13F0007,Nongrowing,579.988234077589,Henry Mountains,0.0314159265358979,0
75_202,HM13F0008,Nongrowing,1274.28660332526,Henry Mountains,0.00785398163397448,0
76_203,HM13F0009,Nongrowing,989.819234288569,Henry Mountains,0.00785398163397448,0
78_207,HM13M0001,Nongrowing,165.121817110211,Henry Mountains,0.196349540849362,0
79_210,HM13M0002,Nongrowing,1306.97526149365,Henry Mountains,30.1907054009979,0
79_212,HM13M0002,Nongrowing,468.734283998255,Henry Mountains,0.00785398163397448,0
80_214,HM13M0003,Nongrowing,275.310408158565,Henry Mountains,0.0962112750161874,0
81_216,HM13M0004,Nongrowing,901.217230069213,Henry Mountains,0.00785398163397448,0
82_218,HM13M0005,Nongrowing,2186.46958712736,Henry Mountains,0.0176714586764426,0
83_220,HM13M0006,Nongrowing,1357.51539396849,Henry Mountains,0.00785398163397448,0
83_222,HM13M0006,Nongrowing,33.7772342244375,Henry Mountains,0.00785398163397448,0
84_224,HM13M0007,Nongrowing,2443.30218967899,Henry Mountains,0.282743338823081,0
84_226,HM13M0007,Nongrowing,904.755641779714,Henry Mountains,0.0314159265358979,0
85_227,HM13M0008,Nongrowing,965.295579431275,Henry Mountains,0.00785398163397448,0
86_229,HM13M0009,Nongrowing,730.164315695508,Henry Mountains,0.00785398163397448,0
86_231,HM13M0009,Nongrowing,1887.61146064725,Henry Mountains,4.1547562843725,0
87_233,HM13U0001,Nongrowing,1288.00190611946,Henry Mountains,0.00785398163397448,0
88_236,HM14U0001,Nongrowing,286.174480562001,Henry Mountains,0.441786466911065,0
134_358,TX-44035,Nongrowing,33.6044133025661,Caprock Canyon,11.0446616727766,1
134_360,TX-44035,Nongrowing,29.9773114175609,Caprock Canyon,4.33736135736241,1
135_362,TX-44036,Nongrowing,33.9250462072921,Caprock Canyon,9.62112750161874,1
135_364,TX-44036,Nongrowing,18.6903536000777,Caprock Canyon,4.5238934211693,1
136_366,TX-44037,Nongrowing,46.1581388102784,Caprock Canyon,0.00785398163397448,1
136_368,TX-44037,Nongrowing,28.0214661334906,Caprock Canyon,4.71435247579318,1
138_375,TX-676467B_45,Nongrowing,16.3253232612002,Caprock Canyon,28.2743338823081,1
137_370,TX-677466B_61,Nongrowing,15.1450727162411,Caprock Canyon,29.7057220351,1
137_372,TX-677466B_61,Nongrowing,21.4426649605163,Caprock Canyon,6.15752160103599,1
115_2014,APR-bisonfemale144,Annual,170.259608616559,American Prairie Reserve,148.48934026733,1
125_2017,APR-DF161,Annual,142.219919645726,American Prairie Reserve,0.0706858347057704,1
126_2017,APR-DF167,Annual,299.602786708414,American Prairie Reserve,0.0490873852123405,1
124_2010,APR-EmmaBison,Annual,107.825763919992,American Prairie Reserve,21.237166338267,1
120_2015,APR-F103,Annual,197.421941548022,American Prairie Reserve,510.705155749191,1
120_2016,APR-F103,Annual,312.365747921474,American Prairie Reserve,0.159043128087983,1
118_2012,APR-F178,Annual,77.6194480662924,American Prairie Reserve,378.406798620299,1
118_2013,APR-F178,Annual,80.0799408895562,American Prairie Reserve,54.7599234474786,1
118_2015,APR-F178,Annual,193.144513261645,American Prairie Reserve,435.583784915633,1
123_2017,APR-NewKunkel1,Annual,173.322932250083,American Prairie Reserve,506.707479097498,1
121_2017,APR-NewKunkel2,Annual,201.269088185287,American Prairie Reserve,688.134454842308,1
127_2017,APR-SP124,Annual,179.180669978526,American Prairie Reserve,486.954715288052,1
128_2017,APR-SP216,Annual,192.850722637567,American Prairie Reserve,383.596316984948,1
129_2017,APR-SPN103,Annual,21.5658444125036,American Prairie Reserve,94.1712032867625,1
130_2017,APR-SPN178,Annual,23.2189142948792,American Prairie Reserve,96.7689077121996,1
89_2014,BC14F0001,Annual,381.284853364149,Book Cliffs,222.992210047212,0
90_2014,BC14M 0001,Annual,796.689222842398,Book Cliffs,92.4590352905561,0
91_2014,BC14M0001,Annual,336.436729743045,Book Cliffs,46.5662571078347,0
94_2018,BC18F0001,Annual,853.48160922072,Book Cliffs,609.172486989738,0
95_2018,BC18F0002,Annual,729.65795265985,Book Cliffs,14.8616967468882,0
96_2018,BC18F0003,Annual,642.486747411429,Book Cliffs,704.50411606292,0
97_2018,BC18F0004,Annual,865.746031310296,Book Cliffs,0.00785398163397448,0
98_2018,BC18F0005,Annual,477.699653845246,Book Cliffs,653.704562854373,0
99_2018,BC18F0006,Annual,601.412639514559,Book Cliffs,279.06963891379,0
100_2018,BC18F0007,Annual,1370.90948238648,Book Cliffs,348.011889696818,0
101_2018,BC18F0008,Annual,962.543261228842,Book Cliffs,0.00785398163397448,0
102_2018,BC18F0009,Annual,766.715548992193,Book Cliffs,676.559649409239,0
104_2018,BC18F0011,Annual,322.962044480735,Book Cliffs,392.324054075702,0
105_2018,BC18F0012,Annual,792.408940841075,Book Cliffs,351.326269946355,0
106_2018,BC18F0013,Annual,303.804465564421,Book Cliffs,258.727826481796,0
107_2018,BC18F0014,Annual,870.146533494986,Book Cliffs,690.461196901373,0
108_2018,BC18F0015,Annual,417.698920672743,Book Cliffs,124.689812420979,0
110_2018,BC18M0002,Annual,700.784197193838,Book Cliffs,306.354371110217,0
112_2018,BC18M0004,Annual,6060.59258227294,Book Cliffs,0.00785398163397448,0
114_2018,BC18U0001,Annual,1559.47603981396,Book Cliffs,90.7625752576176,0
139,CO-106,Annual,114.856729298755,Medano-Zapata Ranch,0.0176714586764426,1
140,CO-120,Annual,138.412610191131,Medano-Zapata Ranch,58.7654540808056,1
141,CO-129,Annual,85.5636912603114,Medano-Zapata Ranch,1.43138815279185,1
143,CO-142,Annual,145.177451614094,Medano-Zapata Ranch,40.1515176082861,1
144,CO-154,Annual,115.088206551898,Medano-Zapata Ranch,197.309690104115,1
133_2007,CO-162_142,Annual,152.80192344244,Medano-Zapata Ranch,690.461196901373,1
132_2007,CO-162_167,Annual,136.189785077435,Medano-Zapata Ranch,265.90440219984,1
145,CO-166,Annual,121.812071646357,Medano-Zapata Ranch,298.64765163188,1
146,CO-19,Annual,128.371087177723,Medano-Zapata Ranch,0.00785398163397448,1
147,CO-31,Annual,108.028286647365,Medano-Zapata Ranch,0.0176714586764426,1
148,CO-45,Annual,99.0138369915844,Medano-Zapata Ranch,7.54767635024948,1
149,CO-57,Annual,97.5735554113136,Medano-Zapata Ranch,0.00785398163397448,1
150,CO-69,Annual,152.964777155779,Medano-Zapata Ranch,77.7563816717559,1
151,CO-7,Annual,130.296734856114,Medano-Zapata Ranch,48.3981983239593,1
152,CO-81,Annual,160.615502919131,Medano-Zapata Ranch,0.0314159265358979,1
153,CO-94,Annual,101.746745108101,Medano-Zapata Ranch,226.980069221863,1
2_2011,HM11F0002,Annual,1891.81166551565,Henry Mountains,0.00785398163397448,0
2_2012,HM11F0002,Annual,2819.16222111166,Henry Mountains,185.057478755115,0
3_2011,HM11F0003,Annual,1187.76814526307,Henry Mountains,2.01061929829747,0
3_2012,HM11F0003,Annual,1746.04494484657,Henry Mountains,0.0314159265358979,0
3_2013,HM11F0003,Annual,1610.01178228643,Henry Mountains,0.00785398163397448,0
4_2011,HM11F0004,Annual,1587.3940448128,Henry Mountains,2.83528736986479,0
4_2012,HM11F0004,Annual,864.785351250019,Henry Mountains,692.791865951255,0
5_2011,HM11F0005,Annual,1193.25418795592,Henry Mountains,56.7450173054656,0
6_2011,HM11F0006,Annual,890.139871535422,Henry Mountains,420.912547223369,0
7_2011,HM11F0007,Annual,1422.9995421889,Henry Mountains,617.953238456521,0
7_2012,HM11F0007,Annual,1423.30684775561,Henry Mountains,58.0880481648753,0
8_2011,HM11F0008,Annual,1429.41976067093,Henry Mountains,150.657039198307,0
9_2011,HM11F0009,Annual,1344.01364544421,Henry Mountains,59.4467869875529,0
10_2011,HM11F0010,Annual,1740.20907049293,Henry Mountains,0.0176714586764426,0
10_2012,HM11F0010,Annual,1905.0472440783,Henry Mountains,73.1382404709789,0
10_2013,HM11F0010,Annual,2437.34640317382,Henry Mountains,11.6415642769587,0
11_2011,HM11F0011,Annual,1468.01808247652,Henry Mountains,4.90873852123405,0
12_2011,HM11F0012,Annual,758.879910808369,Henry Mountains,1.539380400259,0
12_2012,HM11F0012,Annual,1764.10507209148,Henry Mountains,1.43138815279185,0
13_2011,HM11F0013,Annual,1834.8077780464,Henry Mountains,0.00785398163397448,0
13_2012,HM11F0013,Annual,1666.73586529021,Henry Mountains,508.704353927936,0
14_2011,HM11F0014,Annual,2910.69299671464,Henry Mountains,0.441786466911065,0
15_2011,HM11F0015,Annual,1535.49564714193,Henry Mountains,0.00785398163397448,0
15_2012,HM11F0015,Annual,1402.85679204572,Henry Mountains,2.54469004940773,0
16_2011,HM11F0016,Annual,898.265157368352,Henry Mountains,159.484914554894,0
18_2011,HM11F0018,Annual,1632.39536783615,Henry Mountains,532.973157176917,0
18_2012,HM11F0018,Annual,1348.45089330406,Henry Mountains,0.00785398163397448,0
20_2011,HM11F0020,Annual,1579.76051074537,Henry Mountains,49.6391274221272,0
21_2012,HM11F0021,Annual,872.678630937321,Henry Mountains,0.00785398163397448,0
